mass_g,kingdom,phylum,class,order,family,genus,species
841.9,Animalia,Chordata,Mammalia,Soricomorpha,Solenodontidae,Solenodon,Solenodon cubanus
230.0,Animalia,Chordata,Mammalia,Soricomorpha,Solenodontidae,Solenodon,Solenodon marcanoi
900.0,Animalia,Chordata,Mammalia,Soricomorpha,Solenodontidae,Solenodon,Solenodon paradoxus
66.6,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Solisorex,Solisorex pearsoni
25.52,Animalia,Cnidaria,Hydrozoa,Narcomedusae,Cuninidae,Solmissus,Solmissus incisa
1000.0,Animalia,Chordata,Mammalia,Rodentia,Muridae,Solomys,Solomys ponceleti
453.6,Animalia,Chordata,Mammalia,Rodentia,Muridae,Solomys,Solomys salamonis
397.0,Animalia,Chordata,Mammalia,Rodentia,Muridae,Solomys,Solomys salebrosus
385.8,Animalia,Chordata,Mammalia,Rodentia,Muridae,Solomys,Solomys sapientis
590.0,Animalia,Chordata,Mammalia,Rodentia,Muridae,Solomys,Solomys spriggsarum
1554.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,Somateria fischeri
1854.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,Somateria mollissima
1380.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,Somateria spectabilis
0.06708,Animalia,Arthropoda,Insecta,Odonata,Corduliidae,Somatochlora,Somatochlora flavomaculata
1100000.0,Animalia,Chordata,Elasmobranchii,Squaliformes,Somniosidae,Somniosus,Somniosus microcephalus
15.2,Animalia,Chordata,Squamata,Squamata,Colubridae,Sonora,Sonora aemula
8.2,Animalia,Chordata,Squamata,Squamata,Colubridae,Sonora,Sonora michoacanensis
3.7,Animalia,Chordata,Squamata,Squamata,Colubridae,Sonora,Sonora mutabilis
16.18,Animalia,Chordata,Squamata,Squamata,Colubridae,Sonora,Sonora semiannulata
48.3,Animalia,Chordata,Squamata,Squamata,Colubridae,Sordellina,Sordellina punctata
13.84,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex alaskanus
6.853,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex alpinus
9.848,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex antinorii
8.437,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex araneus
8.379,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex arcticus
