taxon,mass_g,source_mass,n,kingdom,phylum,class,order,family,genus,species,confidence,form,subspecies,variety
Thamnophis_pulchrilatus,120.7,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis pulchrilatus,99,,,
Thamnophis_radix,383.0,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis radix,99,,,
Thamnophis_rossmani,144.9,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis rossmani,99,,,
Thamnophis_rufipunctatus,412.6,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis rufipunctatus,99,,,
Thamnophis_saurita,1497.0,Pinos_estimated,,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis saurita,99,,,
Thamnophis_sauritus,299.1,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis saurita,96,,,
Thamnophis_scalaris,115.8,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis scalaris,99,,,
Thamnophis_scaliger,39.8,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis scaliger,99,,,
Thamnophis_sirtalis,276.9,AnAge; Castro_2025; Feldman_etal_2016; Makarieva_2008; Quaardvark,5.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis sirtalis,99,,,
Thamnophis_sumichrasti,112.7,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis sumichrasti,99,,,
Thamnophis_valida,384.1,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis validus,96,,,
Thamnornis_chloropetoides,14.3,Wilman_etal_2014,1.0,Animalia,Chordata,Aves,Passeriformes,Bernieridae,Thamnornis,Thamnornis chloropetoides,99,,,
Thamnosophis_epistibes,117.7,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Pseudoxyrhophiidae,Thamnosophis,Thamnosophis epistibes,99,,,
Thamnosophis_infrasignatus,118.8,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Pseudoxyrhophiidae,Thamnosophis,Thamnosophis infrasignatus,99,,,
Thamnosophis_lateralis,88.3,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Pseudoxyrhophiidae,Thamnosophis,Thamnosophis lateralis,99,,,
Thamnosophis_martae,109.2,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Pseudoxyrhophiidae,Thamnosophis,Thamnosophis martae,99,,,
Thamnosophis_mavotenda,93.8,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Pseudoxyrhophiidae,Thamnosophis,Thamnosophis mavotenda,99,,,
Thamnosophis_stumpffi,57.4,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Pseudoxyrhophiidae,Thamnosophis,Thamnosophis stumpffi,99,,,
Thanatus_striatus,0.002587,Brose_etal_2018,1.0,Animalia,Arthropoda,Arachnida,Araneae,Philodromidae,Thanatus,Thanatus striatus,99,,,
Thaptomys_nigrita,19.9,Faurby_etal_2018,1.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Thaptomys,Thaptomys nigrita,99,,,
Thaumastura_cora,1.9,Wilman_etal_2014,1.0,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Thaumastura,Thaumastura cora,99,,,
Thaumatibis_gigantea,3515.0,Wilman_etal_2014,1.0,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Pseudibis,Pseudibis gigantea,98,,,
Thaumatichthys_pagidostomus,6.7,Cai_etal_2025,1.0,Animalia,Chordata,,Lophiiformes,Thaumatichthyidae,Thaumatichthys,Thaumatichthys pagidostomus,99,,,
Thaumatorhynchus_brooksi,6.821,Feldman_etal_2016; Meiri_2018,2.0,Animalia,Chordata,Squamata,,Agamidae,Harpesaurus,Harpesaurus brooksi,98,,,
Thaumetopoea_pityocampa,0.69,AndersonGillooly_2017,1.0,Animalia,Arthropoda,Insecta,Lepidoptera,Notodontidae,Thaumetopoea,Thaumetopoea pityocampa,99,,,
Thayeria_boehlkei,0.4,Cai_etal_2025,1.0,Animalia,Chordata,,Characiformes,Characidae,Thayeria,Thayeria boehlkei,99,,,
Thecadactylus_oskrobapreinorum,24.82,Feldman_etal_2016; Meiri_2018,2.0,Animalia,Chordata,Squamata,,Phyllodactylidae,Thecadactylus,Thecadactylus oskrobapreinorum,99,,,
Thecadactylus_rapicauda,50.52,Feldman_etal_2016; Meiri_2018,2.0,Animalia,Chordata,Squamata,,Phyllodactylidae,Thecadactylus,Thecadactylus rapicauda,99,,,
Thecadactylus_solimoensis,50.52,Feldman_etal_2016; Meiri_2018,2.0,Animalia,Chordata,Squamata,,Phyllodactylidae,Thecadactylus,Thecadactylus solimoensis,99,,,
Thecadinium_kofoidii,7.87e-09,DeLong_etal_2018,1.0,Chromista,Myzozoa,Dinophyceae,Peridiniales,Oxytoxaceae,Thecadinium,Thecadinium kofoidii,97,,,
Thectocercus_acuticaudatus,171.0,Cai_etal_2025,1.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,Aratinga acuticaudata,98,,,
Thelenota_ananas,6000.0,sealifebase,1.0,Animalia,Echinodermata,Holothuroidea,Synallactida,Stichopodidae,Thelenota,Thelenota ananas,99,,,
Thelenota_anax,4461.0,sealifebase,1.0,Animalia,Echinodermata,Holothuroidea,Synallactida,Stichopodidae,Thelenota,Thelenota anax,99,,,
Thelepus_cincinnatus,0.0507,Brose_etal_2018,1.0,Animalia,Annelida,Polychaeta,,Terebellidae,Thelepus,Thelepus cincinnatus,99,,,
Thelotornis_capensis,275.4,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thelotornis,Thelotornis capensis,99,,,
Thelotornis_kirtlandii,386.6,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thelotornis,Thelotornis kirtlandii,97,,,
Thelotornis_mossambicanus,275.4,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thelotornis,Thelotornis mossambicanus,99,,,
Thelotornis_usambaricus,219.4,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thelotornis,Thelotornis usambaricus,99,,,
Themisto_abyssorum,0.005437,Brose_etal_2018,1.0,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,Themisto abyssorum,99,,,
Themisto_gaudichaudii,0.06751,Brose_etal_2018; Castro_2025; Pata_2025,3.0,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,Themisto gaudichaudii,99,,,
Themisto_gracilipes,0.008065,Brose_etal_2018,1.0,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,Themisto compressa,98,,,
Themisto_japonica,0.009301,Castro_2025; Pata_2025,2.0,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,Themisto japonica,99,,,
Themisto_libellula,0.01128,Brose_etal_2018; Castro_2025; Pata_2025,3.0,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,Themisto libellula,99,,,
Theodoxus_fluviatilis,0.02009,Brose_etal_2018; Eklof_etal_2017; Quaardvark,3.0,Animalia,Mollusca,Gastropoda,Cycloneritida,Neritidae,Theodoxus,Theodoxus fluviatilis,99,,,
Theora_lubrica,0.0238,Brown_etal_2018,1.0,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Theora,Theora lubrica,99,,,
Theragra_chalcogramma,1088.0,AnAge; Cai_etal_2025; Makarieva_2008; Quaardvark; Reum_2012; Reum_2013,6.0,Animalia,Chordata,,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,98,,,
Theridion_impressum,0.006736,Brose_etal_2018,1.0,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Phylloneta,Phylloneta impressa,98,,,
Theridion_manjithar,0.0101,DeLong_etal_2018,1.0,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Theridion,Theridion manjithar,99,,,
Theridion_pictum,0.002936,Brose_etal_2018,1.0,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Theridion,Theridion pictum,99,,,
Theriodictis_platensis,27000.0,Smith_2003,1.0,Animalia,Chordata,Mammalia,Carnivora,Canidae,Theriodictis,Theriodictis platensis,99,,,
Theriodictis_tarijensis,27000.0,Faurby_etal_2018; Smith_2003,2.0,Animalia,Chordata,Mammalia,Carnivora,Canidae,Theriodictis,Theriodictis tarijensis,99,,,
Theristicus_caerulescens,1500.0,AnAge; Wilman_etal_2014,2.0,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Theristicus,Theristicus caerulescens,99,,,
Theristicus_caudatus,1726.0,AnAge; Wilman_etal_2014,2.0,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Theristicus,Theristicus caudatus,99,,,
Theristicus_melanopis,1525.0,Wilman_etal_2014,1.0,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Theristicus,Theristicus melanopis,99,,,
Therlinya_vexillum,0.045,Pekar_etal_2021,1.0,Animalia,Arthropoda,Arachnida,Araneae,Stiphidiidae,Therlinya,Therlinya vexillum,99,,,
