taxon,mass_g,source_mass,n,kingdom,phylum,class,order,family,genus,species,confidence,subspecies,form
Abrothrix_andinus,21.79,Smith_2003-Faurby_etal_2018-rdataretriever-pantheria_rdataretriever-amniote-life-hist,4.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,Abrothrix andinus,99,,
Abrothrix_illutea,47.8,Faurby_etal_2018,1.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,Abrothrix illuteus,96,,
Abrothrix_illuteus,47.8,Smith_2003-rdataretriever-pantheria_rdataretriever-amniote-life-hist,3.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,Abrothrix illuteus,99,,
Abrothrix_jelskii,34.5,Smith_2003-Faurby_etal_2018-rdataretriever-pantheria_rdataretriever-amniote-life-hist,4.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,Abrothrix jelskii,99,,
Abrothrix_lanosus,30.62,Smith_2003-Faurby_etal_2018-rdataretriever-pantheria_rdataretriever-amniote-life-hist,4.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,Abrothrix lanosus,99,,
Abrothrix_longipilis,53.31,Smith_2003-Faurby_etal_2018-rdataretriever-pantheria_rdataretriever-amniote-life-hist,4.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,Abrothrix longipilis,99,,
Abrothrix_markhami,27.0,rdataretriever-amniote-life-hist,1.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,Abrothrix markhami,99,,
Abrothrix_olivaceus,29.07,Smith_2003-Tucker_etal_2014b-Faurby_etal_2018-rdataretriever-pantheria_rdataretriever-amniote-life-hist,5.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,Abrothrix olivaceus,99,,
Abrothrix_sanborni,24.7,Smith_2003-Faurby_etal_2018-rdataretriever-pantheria_rdataretriever-amniote-life-hist,4.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,Abrothrix sanborni,99,,
Abudefduf_bengalensis,124.1,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Pomacentridae,Abudefduf,Abudefduf bengalensis,99,,
Abudefduf_saxatilis,80.0,Mahe_2023,,Animalia,Chordata,,Perciformes,Pomacentridae,Abudefduf,Abudefduf saxatilis,99,,
Abudefduf_taurus,227.6,fishbase; Froese_2014,,Animalia,Chordata,,Perciformes,Pomacentridae,Abudefduf,Abudefduf taurus,99,,
Abudefduf_vaigiensis,203.0,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Pomacentridae,Abudefduf,Abudefduf vaigiensis,99,,
Aburria_aburri,1367.0,Wilman_etal_2014-rdataretriever-amniote-life-hist,2.0,Animalia,Chordata,Aves,Galliformes,Cracidae,Aburria,Aburria aburri,99,,
Aburria_jacutinga,1370.0,rdataretriever-amniote-life-hist,1.0,Animalia,Chordata,Aves,Galliformes,Cracidae,Pipile,Pipile jacutinga,98,,
Acacia_victoriae,458.5,Brown_etal_2018,1.0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia victoriae,99,,
Acanthagenys_rufogularis,47.62,Wilman_etal_2014-rdataretriever-bird-size_rdataretriever-amniote-life-hist,3.0,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Acanthagenys,Acanthagenys rufogularis,99,,
Acanthaluteres_brownii,2625.0,Cai_etal_2025,1.0,Animalia,Chordata,,Tetraodontiformes,Monacanthidae,Acanthaluteres,Acanthaluteres brownii,99,,
Acanthephyra_acutifrons,4.637,Donnelly_1993,,Animalia,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,Acanthephyra acutifrons,99,,
Acanthephyra_curtirostris,3.618,Donnelly_1993,,Animalia,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,Acanthephyra curtirostris,99,,
Acanthephyra_purpurea,1.866,Pata_2025,1.0,Animalia,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,Acanthephyra purpurea,99,,
Acanthephyra_stylorostratis,3.0,Kalytiak_estimated; Donnelly_1993,,Animalia,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,Acanthephyra stylorostratis,99,,
Acanthidops_bairdi,16.0,rdataretriever-amniote-life-hist,1.0,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Acanthidops,Acanthidops bairdi,99,,
Acanthidops_bairdii,16.0,Wilman_etal_2014,1.0,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Acanthidops,Acanthidops bairdi,98,,
Acanthina_punctulata,0.85,Novak_estimated,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthina,Acanthina punctulata,97,,
Acanthina_spirata,0.8,Novak_estimated,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthinucella,Acanthinucella spirata,98,,
Acanthinucella_punctulata,0.85,Novak_estimated,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthinucella,Acanthinucella punctulata,97,,
Acanthinucella_spirata,0.8,Novak_estimated,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthinucella,Acanthinucella spirata,99,,
Acanthinula_aculeata,0.000433,rdataretriever-predator-prey-body-ratio,1.0,Animalia,Mollusca,Gastropoda,Stylommatophora,Valloniidae,Acanthinula,Acanthinula aculeata,99,,
Acanthis_flammea,13.0,Cai_etal_2025-rdataretriever-amniote-life-hist,2.0,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,Acanthis flammea,99,,
Acanthis_hornemanni,14.3,rdataretriever-amniote-life-hist,1.0,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,Acanthis hornemanni,99,,
Acanthisitta_chloris,6.618,Wilman_etal_2014-Cai_etal_2025-rdataretriever-bird-size_rdataretriever-amniote-life-hist,4.0,Animalia,Chordata,Aves,Passeriformes,Acanthisittidae,Acanthisitta,Acanthisitta chloris,99,,
Acanthistius_pictus,1862.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Serranidae,Acanthistius,Acanthistius pictus,99,,
Acanthiza_apicalis,7.56,Wilman_etal_2014-rdataretriever-amniote-life-hist,2.0,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza apicalis,99,,
Acanthiza_chrysorrhoa,9.426,Lislevand_etal_2007-Wilman_etal_2014-rdataretriever-bird-size_rdataretriever-amniote-life-hist,4.0,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza chrysorrhoa,99,,
Acanthiza_ewingii,6.975,Lislevand_etal_2007-Wilman_etal_2014-rdataretriever-bird-size_rdataretriever-amniote-life-hist,4.0,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza ewingii,99,,
Acanthiza_inornata,7.05,Lislevand_etal_2007-Wilman_etal_2014-rdataretriever-bird-size_rdataretriever-amniote-life-hist,4.0,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza inornata,99,,
Acanthiza_iredalei,5.863,Lislevand_etal_2007-Wilman_etal_2014-rdataretriever-bird-size_rdataretriever-amniote-life-hist,4.0,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza iredalei,99,,
Acanthiza_katherina,6.925,Lislevand_etal_2007-Wilman_etal_2014-rdataretriever-bird-size_rdataretriever-amniote-life-hist,4.0,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza katherina,99,,
Acanthiza_lineata,7.232,Lislevand_etal_2007-Wilman_etal_2014-rdataretriever-bird-size_rdataretriever-amniote-life-hist,4.0,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza lineata,99,,
Acanthiza_murina,8.4,Wilman_etal_2014-rdataretriever-amniote-life-hist,2.0,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza murina,99,,
Acanthiza_nana,6.304,Lislevand_etal_2007-Wilman_etal_2014-Cai_etal_2025-rdataretriever-bird-size_rdataretriever-amniote-life-hist,5.0,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza nana,99,,
Acanthiza_pusilla,7.365,Lislevand_etal_2007-Wilman_etal_2014-rdataretriever-bird-size_rdataretriever-amniote-life-hist,4.0,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza pusilla,98,,
Acanthiza_reguloides,7.65,Lislevand_etal_2007-Wilman_etal_2014-rdataretriever-bird-size_rdataretriever-amniote-life-hist,4.0,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza reguloides,99,,
Acanthiza_robustirostris,6.092,Lislevand_etal_2007-Wilman_etal_2014-rdataretriever-bird-size_rdataretriever-amniote-life-hist,4.0,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza robustirostris,99,,
Acanthiza_uropygialis,6.392,Lislevand_etal_2007-Wilman_etal_2014-rdataretriever-bird-size_rdataretriever-amniote-life-hist,4.0,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza uropygialis,99,,
Acanthobrama_orontis,57.38,fishbase,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Acanthobrama,Acanthobrama orontis,99,,
Acanthobrama_thisbeae,166.2,fishbase,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Acanthobrama,Acanthobrama thisbeae,99,,
Acanthobrama_urmianus,40.0,fishbase,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Acanthobrama,Acanthobrama urmianus,99,,
Acanthocardia_tuberculata,3.08,sealifebase,1.0,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Acanthocardia,Acanthocardia tuberculata,99,,
Acanthocercus_adramitanus,135.6,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Agamidae,Acanthocercus,Acanthocercus adramitanus,99,,
Acanthocercus_annectans,122.6,Meiri_2018,1.0,Animalia,Chordata,Squamata,,Agamidae,Acanthocercus,Acanthocercus annectans,99,,
Acanthocercus_annectens,122.6,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Agamidae,Acanthocercus,Acanthocercus annectens,99,,
Acanthocercus_atricollis,145.0,Meiri_2018-Feldman_etal_2016-rdataretriever-amniote-life-hist,3.0,Animalia,Chordata,Squamata,,Agamidae,Acanthocercus,Acanthocercus atricollis,99,,
Acanthocercus_branchi,130.3,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Agamidae,Acanthocercus,Acanthocercus branchi,99,,
Acanthocercus_cyanogaster,122.5,Meiri_2018-Feldman_etal_2016-rdataretriever-amniote-life-hist,3.0,Animalia,Chordata,Squamata,,Agamidae,Acanthocercus,Acanthocercus cyanogaster,99,,
Acanthocercus_guentherpetersi,35.52,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Agamidae,Acanthocercus,Acanthocercus guentherpetersi,99,,
Acanthocercus_phillipsii,34.54,Meiri_2018-Feldman_etal_2016-rdataretriever-amniote-life-hist,3.0,Animalia,Chordata,Squamata,,Agamidae,Acanthocercus,Acanthocercus phillipsii,99,,
Acanthocercus_yemensis,86.81,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Agamidae,Acanthocercus,Acanthocercus yemensis,99,,
Acanthochelys_pallidipectoris,369.2,rdataretriever-amniote-life-hist,1.0,Animalia,Chordata,Testudines,,Chelidae,Acanthochelys,Acanthochelys pallidipectoris,99,,
Acanthochitona_crinita,0.333,Brown_etal_2018,1.0,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Acanthochitona,Acanthochitona crinita,99,,
Acanthochromis_polyacanthus,2.57,Killen_etal_2016,1.0,Animalia,Chordata,,Perciformes,Pomacentridae,Acanthochromis,Acanthochromis polyacanthus,99,,
Acanthocobitis_botia,36.3,Cai_etal_2025,1.0,Animalia,Chordata,,Cypriniformes,Nemacheilidae,Acanthocobitis,Acanthocobitis botia,99,,
Acanthocobitis_zonalternans,3.2,Cai_etal_2025,1.0,Animalia,Chordata,,Cypriniformes,Nemacheilidae,Acanthocobitis,Acanthocobitis zonalternans,99,,
Acanthocybium_solandri,11040.0,Hirt_etal_2017-fishbase,2.0,Animalia,Chordata,,Perciformes,Scombridae,Acanthocybium,Acanthocybium solandri,99,,
Acanthocyclops_robustus,1.13e-05,Brown_etal_2018,1.0,Animalia,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops robustus,99,,
Acanthodactylus_aegyptius,3.309,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus aegyptius,99,,
Acanthodactylus_ahmaddisii,11.19,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus ahmaddisii,99,,
Acanthodactylus_arabicus,10.58,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus arabicus,99,,
Acanthodactylus_aureus,8.107,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus aureus,99,,
Acanthodactylus_bedriagai,9.22,Meiri_2018-Feldman_etal_2016-rdataretriever-amniote-life-hist,3.0,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus bedriagai,99,,
Acanthodactylus_beershebensis,17.48,Meiri_2018-Feldman_etal_2016-rdataretriever-amniote-life-hist,3.0,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus beershebensis,99,,
Acanthodactylus_blanci,19.62,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus blanci,99,,
Acanthodactylus_blanfordii,9.79,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus blanfordii,99,,
Acanthodactylus_boskianus,15.12,Meiri_2018-Feldman_etal_2016-rdataretriever-amniote-life-hist_rdataretriever-vertnet-reptiles,4.0,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus boskianus,99,,
Acanthodactylus_boueti,5.823,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus boueti,99,,
Acanthodactylus_busacki,9.275,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus busacki,98,,
Acanthodactylus_cantoris,19.02,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus cantoris,99,,
Acanthodactylus_dumerilii,7.241,Meiri_2018-Feldman_etal_2016-rdataretriever-amniote-life-hist,3.0,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus dumerilii,99,,
Acanthodactylus_erythrurus,11.21,Meiri_2018-Feldman_etal_2016-Hirt_etal_2017-rdataretriever-amniote-life-hist,4.0,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus erythrurus,99,,
Acanthodactylus_felicis,6.406,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus felicis,99,,
Acanthodactylus_gongrorhynchatus,6.406,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus gongrorhynchatus,99,,
Acanthodactylus_grandis,24.92,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus grandis,99,,
Acanthodactylus_guineensis,4.187,Meiri_2018-Feldman_etal_2016-rdataretriever-vertnet-reptiles,3.0,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus guineensis,99,,
Acanthodactylus_haasi,6.406,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus haasi,99,,
