mass_g,kingdom,phylum,class,order,family,genus,species
495.0,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,Egretta dimorpha
464.4,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,Egretta eulophotes
365.0,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,Egretta garzetta
356.0,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,Egretta gularis
470.5,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,Egretta intermedia
562.1,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,Egretta novaehollandiae
259.0,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,Egretta picata
488.6,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,Egretta rufescens
504.7,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,Egretta sacra
303.5,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,Egretta thula
291.5,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,Egretta vinaceigula
288.4,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Eidolon,Eidolon dupreanum
274.0,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Eidolon,Eidolon helvum
82.0,Animalia,Chordata,Actinopteri,Gymnotiformes,Sternopygidae,Eigenmannia,Eigenmannia microstoma
113.6,Animalia,Chordata,Actinopteri,Gymnotiformes,Sternopygidae,Eigenmannia,Eigenmannia virescens
4143.0,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Eira,Eira barbara
15.4,Animalia,Chordata,Squamata,Squamata,Colubridae,Eirenis,Eirenis africanus
18.2,Animalia,Chordata,Squamata,Squamata,Colubridae,Eirenis,Eirenis aurolineatus
19.4,Animalia,Chordata,Squamata,Squamata,Colubridae,Eirenis,Eirenis barani
11.7,Animalia,Chordata,Squamata,Squamata,Colubridae,Eirenis,Eirenis collaris
6.0,Animalia,Chordata,Squamata,Squamata,Colubridae,Eirenis,Eirenis coronella
7.2,Animalia,Chordata,Squamata,Squamata,Colubridae,Eirenis,Eirenis coronelloides
68.0,Animalia,Chordata,Squamata,Squamata,Colubridae,Eirenis,Eirenis decemlineatus
11.4,Animalia,Chordata,Squamata,Squamata,Colubridae,Eirenis,Eirenis eiselti
11.4,Animalia,Chordata,Squamata,Squamata,Colubridae,Eirenis,Eirenis hakkariensis
5.9,Animalia,Chordata,Squamata,Squamata,Colubridae,Eirenis,Eirenis kermanensis
16.5,Animalia,Chordata,Squamata,Squamata,Colubridae,Eirenis,Eirenis levantinus
6.3,Animalia,Chordata,Squamata,Squamata,Colubridae,Eirenis,Eirenis lineomaculatus
6.0,Animalia,Chordata,Squamata,Squamata,Colubridae,Eirenis,Eirenis medus
32.0,Animalia,Chordata,Squamata,Squamata,Colubridae,Eirenis,Eirenis modestus
142.5,Animalia,Chordata,Squamata,Squamata,Colubridae,Eirenis,Eirenis persicus
32.0,Animalia,Chordata,Squamata,Squamata,Colubridae,Eirenis,Eirenis punctatolineatus
7.6,Animalia,Chordata,Squamata,Squamata,Colubridae,Eirenis,Eirenis rechingeri
8.2,Animalia,Chordata,Squamata,Squamata,Colubridae,Eirenis,Eirenis rothii
24.5,Animalia,Chordata,Squamata,Squamata,Colubridae,Eirenis,Eirenis thospitis
0.0002366,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eiseniella,Eiseniella tetraedra
1.58,Animalia,Chordata,Amphibia,Anura,Microhylidae,Elachistocleis,Elachistocleis bicolor
66.5,Animalia,Chordata,Squamata,Squamata,Colubridae,Boiga,Boiga westermanni
15.52,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,Elaenia albiceps
15.55,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,Elaenia chilensis
16.03,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,Elaenia chiriquensis
18.35,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,Elaenia cristata
19.84,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,Elaenia dayi
14.38,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,Elaenia fallax
19.33,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,Elaenia frantzii
31.0,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,Elaenia gigas
21.0,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,Elaenia martinica
17.68,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,Elaenia mesoleuca
24.08,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,Elaenia obscura
17.62,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,Elaenia olivina
13.83,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,Elaenia parvirostris
19.84,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,Elaenia pelzelni
31.58,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,Elaenia ridleyana
