mass_g,kingdom,phylum,class,order,family,genus,species
6.086,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus famatinae
8.071,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus fittkaui
8.621,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus fitzgeraldi
44.09,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus fitzingerii
28.61,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus flavipiceus
35.98,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus forsteri
24.59,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus frassinettii
4.714,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus fuscus
25.32,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus gallardoi
3.835,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus gardeli
14.52,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus gracielae
6.118,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus gracilis
10.4,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus gravenhorstii
10.89,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus griseus
5.424,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus grosseorum
30.32,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus gununakuna
11.88,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus hajeki
11.78,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus halonastes
12.39,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus hatcheri
19.11,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus heliodermis
6.705,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus hellmichi
11.58,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus hermannunezi
14.01,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus huacahuasicus
27.38,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus huayra
15.2,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus igneus
13.61,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus inacayali
6.004,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus incaicus
8.621,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus insolitus
24.0,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus inti
23.69,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus irregularis
20.58,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus isabelae
10.68,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus janequeoae
12.42,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus josei
27.42,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus juanortizi
32.8,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus kingii
17.72,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus koslowskyi
